date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:55:33	327/327	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Nov%202017%2008:55:34%20GMT	http://damian.drygiel.com/robots.txt		(from )
11:55:34	46085/46085	---M-Z	200	added ('OK')	text/html	etag:%22b405-552409f3542a7-gzip%22	http://damian.drygiel.com/	I:/site/test/damian.drygiel.com/index.html	(from )
11:55:34	1135/1135	---M--	200	added ('OK')	image/png	etag:%2246f-520458c494e80%22	http://damian.drygiel.com/img/favicon.png	I:/site/test/damian.drygiel.com/img/favicon.png	(from http://damian.drygiel.com/)
11:55:35	63655/63655	---M--	200	added ('OK')	text/css	etag:%22f8a7-552409d96f80d%22	http://damian.drygiel.com/css/all.styles.min.css	I:/site/test/damian.drygiel.com/css/all.styles.min.css	(from http://damian.drygiel.com/)
11:55:36	26711/26711	---MCZ	200	added ('OK')	text/css	etag:W/%220831cba6a670e405168b84aa20798347%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	I:/site/test/maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	(from http://damian.drygiel.com/)
11:55:41	65156/65156	---M--	200	added ('OK')	image/jpeg	etag:%22fe84-521c2bb948c80%22	http://damian.drygiel.com/me.jpg	I:/site/test/damian.drygiel.com/me.jpg	(from http://damian.drygiel.com/)
11:55:42	3648/3648	---M--	200	added ('OK')	image/gif	etag:%22e40-520ecde917a80%22	http://damian.drygiel.com/img/cert1.gif	I:/site/test/damian.drygiel.com/img/cert1.gif	(from http://damian.drygiel.com/)
11:55:43	44892/44892	---MC-	200	added ('OK')	text/javascript	date:Fri,%2020%20Oct%202017%2023:46:20%20GMT	http://www.google-analytics.com/ga.js	I:/site/test/www.google-analytics.com/ga.js	(from http://damian.drygiel.com/)
11:55:46	52516/52516	---M--	200	added ('OK')	image/jpeg	etag:%22cd24-520458c3a0c40%22	http://damian.drygiel.com/img/simage-timeline.jpg	I:/site/test/damian.drygiel.com/img/simage-timeline.jpg	(from http://damian.drygiel.com/)
11:55:51	61300/61300	---M--	200	added ('OK')	image/gif	etag:%22ef74-520458c5890c0%22	http://damian.drygiel.com/img/hpm-rec.gif	I:/site/test/damian.drygiel.com/img/hpm-rec.gif	(from http://damian.drygiel.com/)
11:55:52	328/328	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Nov%202017%2008:55:53%20GMT	http://damian.drygiel.com/Knockout.js	I:/site/test/damian.drygiel.com/Knockout.b.delayed	(from http://damian.drygiel.com/)
11:55:52	52843/52843	---M--	200	added ('OK')	image/gif	etag:%22ce6b-520458c3a0c40%22	http://damian.drygiel.com/img/recommendation.gif	I:/site/test/damian.drygiel.com/img/recommendation.gif	(from http://damian.drygiel.com/)
11:55:53	40136/40136	---M--	200	added ('OK')	image/jpeg	etag:%229cc8-520458c3a0c40%22	http://damian.drygiel.com/img/simage-keyboard.jpg	I:/site/test/damian.drygiel.com/img/simage-keyboard.jpg	(from http://damian.drygiel.com/)
11:55:54	8833/8833	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Jun%202016%2014:47:12%20GMT	http://cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.0/jquery.waypoints.min.js	I:/site/test/cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.0/jquery.waypoints.min.js	(from http://damian.drygiel.com/)
11:55:55	1723/1723	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Jun%202016%2014:47:12%20GMT	http://cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.0/shortcuts/inview.min.js	I:/site/test/cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.0/shortcuts/inview.min.js	(from http://damian.drygiel.com/)
11:55:55	1243/1243	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Jun%202016%2020:08:43%20GMT	http://cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.0/shortcuts/sticky.min.js	I:/site/test/cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.0/shortcuts/sticky.min.js	(from http://damian.drygiel.com/)
11:55:56	2279/2279	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Jun%202016%2014:47:11%20GMT	http://cdnjs.cloudflare.com/ajax/libs/visibility.js/1.2.1/visibility.min.js	I:/site/test/cdnjs.cloudflare.com/ajax/libs/visibility.js/1.2.1/visibility.min.js	(from http://damian.drygiel.com/)
11:55:57	84380/84380	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Jun%202016%2014:42:33%20GMT	http://cdnjs.cloudflare.com/ajax/libs/jquery/2.1.4/jquery.min.js	I:/site/test/cdnjs.cloudflare.com/ajax/libs/jquery/2.1.4/jquery.min.js	(from http://damian.drygiel.com/)
11:56:00	16853/16853	---M--	200	added ('OK')	application/javascript	etag:%2241d5-552409cdc6655%22	http://damian.drygiel.com/js/all.scripts.min.js	I:/site/test/damian.drygiel.com/js/all.scripts.min.js	(from http://damian.drygiel.com/)
11:56:04	44004/44004	---M--	200	added ('OK')	image/gif	etag:%22abe4-5211651725dc0%22	http://damian.drygiel.com/img/about-bg.gif	I:/site/test/damian.drygiel.com/img/about-bg.gif	(from http://damian.drygiel.com/css/all.styles.min.css)
11:56:09	411428/411428	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Jun%202016%2020:08:21%20GMT	http://cdnjs.cloudflare.com/ajax/libs/three.js/r58/three.min.js	I:/site/test/cdnjs.cloudflare.com/ajax/libs/three.js/r58/three.min.js	(from http://damian.drygiel.com/)
11:56:13	20542/20542	---M--	200	added ('OK')	image/png	etag:%22503e-520458c5890c0%22	http://damian.drygiel.com/img/frames-255-black.png	I:/site/test/damian.drygiel.com/img/frames-255-black.png	(from http://damian.drygiel.com/css/all.styles.min.css)
11:56:14	87235/87235	---M--	200	added ('OK')	image/gif	etag:%22154c3-520458c494e80%22	http://damian.drygiel.com/img/db-loop.gif	I:/site/test/damian.drygiel.com/img/db-loop.gif	(from http://damian.drygiel.com/css/all.styles.min.css)
11:56:16	20793/20793	---M--	200	added ('OK')	image/png	etag:%225139-520458c5890c0%22	http://damian.drygiel.com/img/frames-255-white.png	I:/site/test/damian.drygiel.com/img/frames-255-white.png	(from http://damian.drygiel.com/css/all.styles.min.css)
11:58:58	1767735/1767735	---M--	200	added ('OK')	image/jpeg	etag:%221af937-520ecdeafff00%22	http://damian.drygiel.com/img/projects-sprite.jpg	I:/site/test/damian.drygiel.com/img/projects-sprite.jpg	(from http://damian.drygiel.com/css/all.styles.min.css)
11:59:02	2682194/2682194	---M--	200	added ('OK')	video/mp4	etag:%2228ed52-520458c5890c0%22	http://damian.drygiel.com/img/background.mp4	I:/site/test/damian.drygiel.com/img/background.mp4	(from http://damian.drygiel.com/)
